id,nome,rango,intervallo_iniziale,intervallo_finale,eta_massima,eta_minima,longitudine,latitudine,codice_paese,stato_regione,formazione,gruppo_geologico,phylum,classe,ordine,famiglia,genere,origine_dataset,fonte_riempimento_tassonomia
149600,Camarasaurus grandis,species,Kimmeridgian,Tithonian,154.8,143.1,-106.389999,42.035831,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Camarasauridae,Camarasaurus,0,dataset_extra_dinosauri
149601,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1,-106.389999,42.035831,US,Wyoming,Morrison,,Chordata,Reptilia,Saurischia,Allosauridae,Allosaurus,0,dataset_extra_dinosauri
149854,Ornithopoda,suborder,Late Barremian,Early Aptian,125.77,119.57,-1.381643,50.62413,UK,England,Vectis,Wealden,Chordata,Ornithischia,,,,0,
149860,Hypsilophodon,genus,Late Barremian,Early Aptian,125.77,119.57,-1.468,50.654499,UK,England,Vectis,Wealden,Chordata,Ornithischia,Ornithischia,Hypsilophodontidae,Hypsilophodon,0,dataset_extra_dinosauri
149866,Lewisuchus admixtus,species,Ladinian,,241.464,237.0,-67.820557,-29.823055,AR,La Rioja,Chañares,Agua de la Peña,Chordata,Ornithischia,<NA>,Silesauridae,Lewisuchus,0,PBDB
149981,Scutellosaurus lawleri,species,Sinemurian,Pliensbachian,199.5,184.2,-111.027779,35.679169,US,Arizona,Kayenta,Glen Canyon,Chordata,Ornithischia,Ornithischia,<NA>,Scutellosaurus,0,PBDB
149982,Scutellosaurus lawleri,species,Sinemurian,Pliensbachian,199.5,184.2,-111.073608,35.736668,US,Arizona,Kayenta,Glen Canyon,Chordata,Ornithischia,Ornithischia,<NA>,Scutellosaurus,0,PBDB
149983,Orodromeus makelai,species,Middle Campanian,,83.6,72.2,-112.182777,47.8125,US,Montana,Two Medicine,Montana,Chordata,Ornithischia,Ornithischia,Thescelosauridae,Orodromeus,0,dataset_extra_dinosauri
149984,Lambeosaurinae,subfamily,Late Campanian,,83.6,72.2,-112.660004,47.82,US,Montana,Two Medicine,Montana,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,0,post_dataset_extra_famiglia_to_ordine
149987,Goyocephale lattimorei,species,Santonian,Maastrichtian,85.7,66.0,102.066666,48.583332,MN,Omnogov,,,Chordata,Ornithischia,Ornithischia,<NA>,Goyocephale,0,PBDB
149988,Efraasia minor,species,Norian,,227.3,205.7,8.978333,49.023609,DE,Baden-Württemberg,Löwenstein,Keuper,Chordata,Saurischia,Saurischia,<NA>,Efraasia,0,PBDB
149989,Tethyshadros insularis,species,Early Campanian,Middle Campanian,83.6,72.2,13.588611,45.77861,IT,Friuli-Venezia Giulia,Aurisina,,Chordata,Ornithischia,Ornithischia,Telmatosauridae,Tethyshadros,0,dataset_extra_dinosauri
150138,Ichthyornis dispar,species,Early Coniacian,Santonian,89.8,83.6,-101.0,39.0,US,Kansas,Niobrara,Colorado,Chordata,Reptilia,Ichthyornithes,<NA>,Ichthyornis,0,PBDB
150139,Hesperornis,genus,Early Coniacian,Santonian,89.8,83.6,-101.0,39.0,US,Kansas,Niobrara,Colorado,Chordata,Reptilia,Hesperornithiformes,Hesperornithidae,Hesperornis,0,
150156,Alexornis antecedens,species,Santonian,,85.7,83.6,-115.73333,30.049999,MX,Baja California,La Bocana Roja,,Chordata,Reptilia,Alexornithiformes,Alexornithidae,Alexornis,0,
150174,Massospondylus carinatus,species,Hettangian,Sinemurian,201.4,192.9,28.623056,-28.509443,ZA,Free State,Elliot,Stormberg,Chordata,Saurischia,Saurischia,Massospondylidae,Massospondylus,0,dataset_extra_dinosauri
150175,Massospondylus,genus,Hettangian,Sinemurian,201.4,192.9,28.623056,-28.509443,ZA,Free State,Elliot,Stormberg,Chordata,Saurischia,Saurischia,Massospondylidae,Massospondylus,0,dataset_extra_dinosauri
150238,Megaloolithus siruguei,species,Early Maastrichtian,,72.2,66.0,1.078398,42.113537,ES,Cataluña,La Posa,Tremp,Chordata,Saurischia,<NA>,Megaloolithidae,Megaloolithus,0,PBDB
