genere,genere_key,phylum,classe,ordine,famiglia,fonte_lookup
nemegtosaurus,nemegtosaurus,Chordata,Reptilia,Saurischia,Nemegtosauridae,data.csv_taxonomy
neovenator,neovenator,Chordata,Reptilia,Saurischia,Carcharodontosauridae,data.csv_taxonomy
neuquenosaurus,neuquenosaurus,Chordata,Reptilia,Saurischia,Saltasauridae,data.csv_taxonomy
nigersaurus,nigersaurus,Chordata,Reptilia,Saurischia,Rebbachisauridae,data.csv_taxonomy
nipponosaurus,nipponosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
noasaurus,noasaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
nodosaurus,nodosaurus,Chordata,Reptilia,Ornithischia,Nodosauridae,data.csv_taxonomy
nomingia,nomingia,Chordata,Reptilia,Saurischia,Caenagnathidae,data.csv_taxonomy
nothronychus,nothronychus,Chordata,Reptilia,Saurischia,Therizinosauridae,data.csv_taxonomy
nqwebasaurus,nqwebasaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
omeisaurus,omeisaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
opisthocoelicaudia,opisthocoelicaudia,Chordata,Reptilia,Saurischia,Saltasauridae,data.csv_taxonomy
ornitholestes,ornitholestes,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
ornithomimus,ornithomimus,Chordata,Reptilia,Saurischia,Ornithomimidae,data.csv_taxonomy
orodromeus,orodromeus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
oryctodromeus,oryctodromeus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
othnielia,othnielia,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
ouranosaurus,ouranosaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
oviraptor,oviraptor,Chordata,Reptilia,Saurischia,Oviraptoridae,data.csv_taxonomy
pachycephalosaurus,pachycephalosaurus,Chordata,Reptilia,Ornithischia,Pachycephalosauridae,data.csv_taxonomy
pachyrhinosaurus,pachyrhinosaurus,Chordata,Reptilia,Ornithischia,Ceratopsidae,data.csv_taxonomy
panoplosaurus,panoplosaurus,Chordata,Reptilia,Ornithischia,Nodosauridae,data.csv_taxonomy
pantydraco,pantydraco,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
paralititan,paralititan,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
parasaurolophus,parasaurolophus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
parksosaurus,parksosaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
patagosaurus,patagosaurus,Chordata,Reptilia,Saurischia,Cetiosauridae,data.csv_taxonomy
pelicanimimus,pelicanimimus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
pelorosaurus,pelorosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
pentaceratops,pentaceratops,Chordata,Reptilia,Ornithischia,Ceratopsidae,data.csv_taxonomy
piatnitzkysaurus,piatnitzkysaurus,Chordata,Reptilia,Saurischia,Megalosauridae,data.csv_taxonomy
pinacosaurus,pinacosaurus,Chordata,Reptilia,Ornithischia,Ankylosauridae,data.csv_taxonomy
plateosaurus,plateosaurus,Chordata,Reptilia,Saurischia,Plateosauridae,data.csv_taxonomy
podokesaurus,podokesaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
poekilopleuron,poekilopleuron,Chordata,Reptilia,Saurischia,Megalosauridae,data.csv_taxonomy
polacanthus,polacanthus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
prenocephale,prenocephale,Chordata,Reptilia,Ornithischia,Pachycephalosauridae,data.csv_taxonomy
probactrosaurus,probactrosaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
proceratosaurus,proceratosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
procompsognathus,procompsognathus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
prosaurolophus,prosaurolophus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
protarchaeopteryx,protarchaeopteryx,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
protoceratops,protoceratops,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
protohadros,protohadros,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
psittacosaurus,psittacosaurus,Chordata,Reptilia,Ornithischia,Psittacosauridae,data.csv_taxonomy
quaesitosaurus,quaesitosaurus,Chordata,Reptilia,Saurischia,Nemegtosauridae,data.csv_taxonomy
rebbachisaurus,rebbachisaurus,Chordata,Reptilia,Saurischia,Rebbachisauridae,data.csv_taxonomy
rhabdodon,rhabdodon,Chordata,Reptilia,Ornithischia,Rhabdodontidae,data.csv_taxonomy
rhoetosaurus,rhoetosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
rinchenia,rinchenia,Chordata,Reptilia,Saurischia,Oviraptoridae,data.csv_taxonomy
riojasaurus,riojasaurus,Chordata,Reptilia,Saurischia,Melanorosauridae,data.csv_taxonomy
rugops,rugops,Chordata,Reptilia,Saurischia,Abelisauridae,data.csv_taxonomy
saichania,saichania,Chordata,Reptilia,Ornithischia,Ankylosauridae,data.csv_taxonomy
saltasaurus,saltasaurus,Chordata,Reptilia,Saurischia,Saltasauridae,data.csv_taxonomy
saltopus,saltopus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
sarcosaurus,sarcosaurus,Chordata,Reptilia,Saurischia,,data.csv_taxonomy
saurolophus,saurolophus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
sauropelta,sauropelta,Chordata,Reptilia,Ornithischia,Nodosauridae,data.csv_taxonomy
saurophaganax,saurophaganax,Chordata,Reptilia,Saurischia,Allosauridae,data.csv_taxonomy
saurornithoides,saurornithoides,Chordata,Reptilia,Saurischia,Troodontidae,data.csv_taxonomy
scelidosaurus,scelidosaurus,Chordata,Reptilia,Ornithischia,Scelidosauridae,data.csv_taxonomy
scutellosaurus,scutellosaurus,Chordata,Reptilia,Ornithischia,,data.csv_taxonomy
secernosaurus,secernosaurus,Chordata,Reptilia,Ornithischia,Hadrosauridae,data.csv_taxonomy
segisaurus,segisaurus,Chordata,Reptilia,Saurischia,Coelophysidae,data.csv_taxonomy
segnosaurus,segnosaurus,Chordata,Reptilia,Saurischia,Therizinosauridae,data.csv_taxonomy
shamosaurus,shamosaurus,Chordata,Reptilia,Ornithischia,Ankylosauridae,data.csv_taxonomy
