nome,rango,genere,famiglia,ordine,classe,phylum,origine_dataset,fonte_riempimento_tassonomia
Elatocladus,genus,Elatocladus,Podocarpaceae,Coniferales,,Gymnospermae,1,
Widdringtonites,genus,Widdringtonites,,Pinales,Pinopsida,Spermatophyta,1,
Brachyphyllum macrocarpum,species,Brachyphyllum,Araucariaceae,,Equisetopsida,Equisetophyta,1,
Dammara,genus,Dammara,Araucariaceae,,Equisetopsida,Equisetophyta,1,
Stachyotaxus elegans,species,Stachyotaxus,Palissyaceae,Coniferales,,Gymnospermae,1,
Acrostichites,genus,Acrostichites,Osmundaceae,,Polypodiopsida,Pteridophyta,1,
Anomozamites minor,species,Anomozamites,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Triletes,genus,Triletes,,,Pteridopsida,Pteridophyta,1,
Vardekloeftia sulcata,species,Vardekloeftia,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Hartzia tenuis,species,Hartzia,,Czekanowskiales,Ginkgoopsida,Ginkgophyta,1,
Bysmatospermum macrotrachelum,species,Bysmatospermum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Ontheodendron,genus,Ontheodendron,,,,Cycadophyta,1,
Archaeolithothamnium,genus,Archaeolithothamnium,,Corallinales,Florideophyceae,Rhodophyta,1,
Acicularia elongata,species,Acicularia,,Dasycladales,Chlorophyceae,Chlorophyta,1,
Swedenborgia,genus,Swedenborgia,,,,Coniferophyta,1,
Todites,genus,Todites,Osmundaceae,,Polypodiopsida,Pteridophyta,1,
Pterophyllum subaequale,species,Pterophyllum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Lycostrobus scotti,species,Lycostrobus,,,,Lycopodophyta,1,
Amphorispermum,genus,Amphorispermum,,Caytoniales,Ginkgoopsida,Ginkgophyta,1,
Anomozamites,genus,Anomozamites,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Sphenobaiera spectabilis,species,Sphenobaiera,,Ginkgoales,Ginkgoopsida,Ginkgophyta,1,
Ourostrobus nathorsti,species,Ourostrobus,,,,,1,
Lobatannularia,genus,Lobatannularia,,,Sphenopsida,Sphenophyta,1,
Storgaardia spectabilis,species,Storgaardia,,,,Coniferophyta,1,
Gleichenites,genus,Gleichenites,Gleicheniaceae,,Polypodiopsida,Pteridophyta,1,
Cynepteris lasiophora,species,Cynepteris,,,,Pteridophyta,1,
Wingatea plumosa,species,Wingatea,,,,Pteridophyta,1,
Williamsonia,genus,Williamsonia,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Araucarioxylon arizonicum,species,Araucarioxylon,Araucariaceae,,Equisetopsida,Equisetophyta,1,
Marcouia,genus,Marcouia,,,,Pteridophyta,1,
Dechellyia,genus,Dechellyia,,Coniferales,,Gymnospermae,1,
Enzonalasporites vigens,species,Enzonalasporites,,,,Gymnospermae,1,
Verrucosisporites,genus,Verrucosisporites,,,Polypodiopsida,Pteridophyta,1,
Cycadopites fragilis,species,Cycadopites,,,,Cycadophyta,1,
Cycadopites,genus,Cycadopites,,,,Cycadophyta,1,
Klausipollenites,genus,Klausipollenites,,,,,1,
Equisetosporites,genus,Equisetosporites,,Ephedrales,Ginkgoopsida,Ginkgophyta,1,
Podozamites,genus,Podozamites,Podocarpaceae,Coniferales,,Gymnospermae,1,
Camptopteris,genus,Camptopteris,,,,,1,
Araucarioxylon,genus,Araucarioxylon,Araucariaceae,,Equisetopsida,Equisetophyta,1,
Macrotaeniopteris,genus,Macrotaeniopteris,,,,Cycadophyta,1,
Zamites powelli,species,Zamites,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Cynepteris,genus,Cynepteris,,,,Pteridophyta,1,
Alethopteris whitneyi,species,Pecopteris (Alethopteris),,,Pteropsida,Pteridophyta,1,
Zamites truncatus,species,Zamites,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Desmiophyllum,genus,Desmiophyllum,,Coniferales,,Gymnospermae,1,
Noeggerathiopsis,genus,Noeggerathiopsis,Cordaitaceae,,Cordaitopsida,Gymnospermae,1,
Macropterygium,genus,Macropterygium,,,,Cycadophyta,1,
Solenopora urgoniana,species,Solenopora,Solenoporaceae,,Rhodophyceae,Rhodophyta,1,
Aphlebia,genus,Aphlebia,,,,,1,
Permocalculus,genus,Permocalculus,Gymnocodiaceae,,Rhodophyceae,Rhodophyta,1,
Acrostichites linnaeaefolius,species,Acrostichites,Osmundaceae,,Polypodiopsida,Pteridophyta,1,
Dicranopteris,genus,Dicranopteris,Gleicheniaceae,,Polypodiopsida,Pteridophyta,1,
Isoetodendron striata,species,Isoetodendron,,Isoetales,Lycopodiopsida,Lycopodiophyta,1,
Lonchopteris oblonga,species,Lonchopteris,,,,Pteridophyta,1,
Taeniopteris crassinervis,species,Taeniopteris,,Cycadales,Cycadopsida,Cycadophyta,1,
Macrotaeniopteris magnifolia,species,Macrotaeniopteris,,,,Cycadophyta,1,
Plicarizamites lanceolatus,species,Plicarizamites,,,,,1,
Podozamites lanceolatus,species,Podozamites,Podocarpaceae,Coniferales,,Gymnospermae,1,
Podozamites tenuistriatus,species,Podozamites,Podocarpaceae,Coniferales,,Gymnospermae,1,
Primaraucaria,genus,Primaraucaria,Araucariaceae,,Equisetopsida,Equisetophyta,1,
Stangerites,genus,Stangerites,,Cycadales,Cycadopsida,Cycadophyta,1,
Sanmiguelia,genus,Sanmiguelia,Arecaceae,,,Angiospermae,1,
Cladophlebis auriculata,species,Cladophlebis,,,Polypodiopsida,Pteridophyta,1,
Pecopteris rarinervis,species,Pecopteris,,,Pteropsida,Pteridophyta,1,
Pterophyllum affine,species,Pterophyllum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Eoginkgoites,genus,Eoginkgoites,,Ginkgoales,Ginkgoopsida,Ginkgophyta,1,
Canna magnifolia,species,Canna,Cannaceae,Zingiberales,,Angiospermae,1,
Sabal montana,species,Sabal,Arecaceae,,,Angiospermae,1,
Phyllites ratonensis,species,Phyllites,Proteaceae,Proteales,,Angiospermae,1,
Salix,genus,Salix,Salicaceae,Malpighiales,,Angiospermae,1,
Cinnamomum,genus,Cinnamomum,Lauraceae,Laurales,,Angiospermae,1,
Sequoia,genus,Sequoia,Cupressaceae,Coniferales,,Gymnospermae,1,
Sabalites,genus,Sabalites,Arecaceae,,,Angiospermae,1,
Ficus planicostata,species,Ficus,Moraceae,,,Angiospermae,1,
Ficus,genus,Ficus,Moraceae,,,Angiospermae,1,
Cissus marginata,species,Cissus,Vitaceae,Vitales,,Angiospermae,1,
Araucarites,genus,Araucarites,Araucariaceae,,Equisetopsida,Equisetophyta,1,
Dryophyllum,genus,Dryophyllum,Nothofagaceae,Fagales,,Angiospermae,1,
Laurophyllum,genus,Laurophyllum,Lauraceae,Laurales,,Angiospermae,1,
Dillenites,genus,Dillenites,Dilleniaceae,Dilleniales,,Angiospermae,1,
Cercidiphyllum,genus,Cercidiphyllum,Cercidiphyllaceae,Saxifragales,,Angiospermae,1,
Quercus viburnifolia,species,Quercus,Fagaceae,Fagales,,Angiospermae,1,
Thaumatoporella,genus,Thaumatoporella,,Thaumatoporellales,,Chlorophyta,1,
Zamites gigas,species,Zamites,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Williamsonia gigas,species,Williamsonia,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Bucklandia,genus,Bucklandia,,Cycadales,Cycadopsida,Cycadophyta,1,
Eretmophyllum,genus,Eretmophyllum,,Ginkgoales,Ginkgoopsida,Ginkgophyta,1,
Brachyphyllum mamillare,species,Brachyphyllum,Araucariaceae,,Equisetopsida,Equisetophyta,1,
Solenites,genus,Solenites,,Czekanowskiales,Ginkgoopsida,Ginkgophyta,1,
Paracycas cteis,species,Paracycas,,Cycadales,Cycadopsida,Cycadophyta,1,
Ctenozamites cycadea,species,Ctenozamites,,Cycadales,Cycadopsida,Cycadophyta,1,
Ctenozamites,genus,Ctenozamites,,Cycadales,Cycadopsida,Cycadophyta,1,
Taeniopteris vittata,species,Taeniopteris,,Cycadales,Cycadopsida,Cycadophyta,1,
Bucklandia bucklandii,species,Bucklandia,,Cycadeoideales,Cycadeoideopsida,Cycadeoideophyta,1,
Brachyphyllum expansum,species,Brachyphyllum,Araucariaceae,,Equisetopsida,Equisetophyta,1,
Masculostrobus,genus,Masculostrobus,,,,Spermatophyta,1,
Carpolithes,genus,Carpolithes,,,,,1,
Phyllites,genus,Phyllites,Proteaceae,Proteales,,Angiospermae,1,
Aspidistes thomasi,species,Aspidistes,,Filicales,Polypodiopsida,Pteridophyta,1,
Cladophlebis haiburnensis,species,Cladophlebis,,,Polypodiopsida,Pteridophyta,1,
Eboracia lobifolia,species,Eboracia,,,,Pteridophyta,1,
Selenocarpus muensterianus,species,Selenocarpus,Gleicheniaceae,,Polypodiopsida,Pteridophyta,1,
Stachypteris spicans,species,Stachypteris,,,,Pteridophyta,1,
Todites williamsoni,species,Todites,Osmundaceae,,Polypodiopsida,Pteridophyta,1,
Anomozamites thomasi,species,Anomozamites,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Otozamites parallelus,species,Otozamites,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Pterophyllum thomasi,species,Pterophyllum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Ptilophyllum pecten,species,Ptilophyllum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Eretmophyllum pubescens,species,Eretmophyllum,,Ginkgoales,Ginkgoopsida,Ginkgophyta,1,
Pseudotorellia,genus,Pseudotorellia,,,,,1,
Bilsdalea dura,species,Bilsdalea,,Coniferales,,Gymnospermae,1,
Marskea,genus,Marskea,,,Taxopsida,Spermatophyta,1,
Pagiophyllum kurrii,species,Pagiophyllum,Araucariaceae,,Equisetopsida,Equisetophyta,1,
Osmundopsis,genus,Osmundopsis,Osmundaceae,,Polypodiopsida,Pteridophyta,1,
Sphenarion,genus,Sphenarion,,Czekanowskiales,Ginkgoopsida,Ginkgophyta,1,
Pityocladus,genus,Pityocladus,,,,Coniferophyta,1,
Parachaetetes cassiana,species,Parachaetetes,Solenoporaceae,,Rhodophyceae,Rhodophyta,1,
Allicospermum,genus,Allicospermum,,,,Gymnospermae,1,
Taxodioxylon,genus,Taxodioxylon,Cupressaceae,Coniferales,,Gymnospermae,1,
Grammaephloios,genus,Grammaephloios,,Lycopodiales,Lycopodiopsida,Lycopodiophyta,1,
Lonchopteris virginiensis,species,Lonchopteris,,,,Pteridophyta,1,
Glyptolepis,genus,Glyptolepis,,Coniferales,,Gymnospermae,1,
Compsostrobus neotericus,species,Compsostrobus,Compsostrobaceae,Coniferales,,Gymnospermae,1,
Phoenicopsis,genus,Phoenicopsis,,Czekanowskiales,Ginkgoopsida,Ginkgophyta,1,
Aspidistes,genus,Aspidistes,,Filicales,Polypodiopsida,Pteridophyta,1,
Dichopteris,genus,Dichopteris,,Filicales,Polypodiopsida,Pteridophyta,1,
Nilssonia brevis,species,Nilsonia,,Cycadales,Cycadopsida,Cycadophyta,1,
Masculostrobus zeilleri,species,Masculostrobus,,,,Spermatophyta,1,
Hirmeriella,genus,Hirmeriella,Cheirolepidiaceae,,Equisetopsida,Equisetophyta,1,
Otozamites pterophylloides,species,Otozamites,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Palaeocyparis,genus,Palaeocyparis,,,,Spermatophyta,1,
Yuccites,genus,Yuccites,,,,,1,
Cycadeospermum,genus,Cycadeospermum,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Scleropteris pomelii,species,Scleropteris,,,,Pteridophyta,1,
Sequoiopsis buvignieri,species,Sequoiopsis,,Coniferales,,Gymnospermae,1,
Sequoiopsis,genus,Sequoiopsis,,Coniferales,,Gymnospermae,1,
Widdringtonites gracilis,species,Widdringtonites,,Pinales,Pinopsida,Spermatophyta,1,
Apoldia,genus,Apoldia,,Cycadales,Cycadopsida,Cycadophyta,1,
Furcifolium,genus,Furcifolium,,,,Ginkgophyta,1,
Paracycas,genus,Paracycas,,Cycadales,Cycadopsida,Cycadophyta,1,
Cycadolepis villosa,species,Cycadolepis,,Bennettitales,Pteropsida,Gymnospermae,1,dataset_interno_ordine_to_classe
Cupressinocladus,genus,Cupressinocladus,Cheirolepidiaceae,,Equisetopsida,Equisetophyta,1,
Cupressinoxylon,genus,Cupressinoxylon,,Coniferales,,Gymnospermae,1,
Changarniera inquirenda,species,Changarniera,,,,,1,
Changarniera,genus,Changarniera,,,,,1,
Condylites,genus,Condylites,,,,Spermatophyta,1,
Ctenopteris,genus,Ctenopteris,,,,Cycadophyta,1,
Cladophlebis microphylla,species,Cladophlebis,,,Polypodiopsida,Pteridophyta,1,
Samaropsis,genus,Samaropsis,,Coniferales,,Gymnospermae,1,
Scleropteris,genus,Scleropteris,,,,Pteridophyta,1,
Platylepis,genus,Platylepis,,,,Cycadophyta,1,
Palaeospadix,genus,Palaeospadix,Arecaceae,,,Angiospermae,1,
