occurrence_no,collection_no,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma,lat,lng,cc,state,formation,geological_group,phylum,class,order,family,genus,mid_ma,period_group,has_valid_coords,dataset_type,continente,order_raggruppato,categoria,possibile_aviano_residuo
150156,13312,Alexornis antecedens,species,Santonian,,85.7,83.6,30.049999,-115.73333,MX,Baja California,La Bocana Roja,,Chordata,Reptilia,Alexornithiformes,Alexornithidae,Alexornis,84.65,Cretaceo,True,Dinosauria,Nord America,Alexornithiformes,Altro/Non Classificato,True
150174,13326,Massospondylus carinatus,species,Hettangian,Sinemurian,201.4,192.9,-28.509443,28.623056,ZA,Free State,Elliot,Stormberg,Chordata,Saurischia,Saurischia,Massospondylidae,Massospondylus,197.15,Triassico,True,Dinosauria,Africa,Saurischia,Erbivoro,False
150175,13326,Massospondylus,genus,Hettangian,Sinemurian,201.4,192.9,-28.509443,28.623056,ZA,Free State,Elliot,Stormberg,Chordata,Saurischia,Saurischia,Massospondylidae,Massospondylus,197.15,Triassico,True,Dinosauria,Africa,Saurischia,Erbivoro,False
150238,13331,Megaloolithus siruguei,species,Early Maastrichtian,,72.2,66.0,42.113537,1.078398,ES,Cataluña,La Posa,Tremp,Chordata,Saurischia,,Megaloolithidae,Megaloolithus,69.1,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
150239,13332,Titanosauridae,family,Maastrichtian,,72.2,66.0,43.583332,6.3,FR,Var,,,Chordata,Saurischia,Saurischia,Titanosauridae,,69.1,Cretaceo,True,Dinosauria,Europa,Saurischia,Erbivoro,False
150240,13333,Amargasaurus cazaui,species,Barremian,,125.77,121.4,-39.481979,-70.194786,AR,Neuquén,La Amarga,,Chordata,Saurischia,Saurischia,Dicraeosauridae,Amargasaurus,123.58500000000001,Cretaceo,True,Dinosauria,Sud America,Saurischia,Erbivoro/Incertezza,False
150241,13334,Telmatosaurus transsylvanicus,species,Early Maastrichtian,,72.2,66.0,45.603615,22.845142,RO,Hunedoara,Densuş-Ciula,,Chordata,Ornithischia,Ornithischia,Telmatosauridae,Telmatosaurus,69.1,Cretaceo,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
150242,13335,Owenodon,genus,Berriasian,,143.1,137.05,46.950001,22.4,RO,Judetul Bihor,Lower Bauxite,,Chordata,Ornithischia,Ornithischia,,Owenodon,140.075,Cretaceo,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
150246,13335,Theropoda,unranked clade,Berriasian,,143.1,137.05,46.950001,22.4,RO,Judetul Bihor,Lower Bauxite,,Chordata,Reptilia,,,,140.075,Cretaceo,True,Dinosauria,Europa,,Altro/Non Classificato,False
150247,13335,Ankylosauria,unranked clade,Berriasian,,143.1,137.05,46.950001,22.4,RO,Judetul Bihor,Lower Bauxite,,Chordata,Ornithischia,,,,140.075,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
150248,13335,Owenodon,genus,Berriasian,,143.1,137.05,46.950001,22.4,RO,Judetul Bihor,Lower Bauxite,,Chordata,Ornithischia,Ornithischia,,Owenodon,140.075,Cretaceo,True,Dinosauria,Europa,Ornithischia,Erbivoro,False
150249,13335,Iguanodontia,infraorder,Berriasian,,143.1,137.05,46.950001,22.4,RO,Judetul Bihor,Lower Bauxite,,Chordata,Ornithischia,,,,140.075,Cretaceo,True,Dinosauria,Europa,,Erbivoro,False
150255,13336,Dinosauria,unranked clade,Early Albian,,113.2,110.1,40.950001,140.433334,JP,Gunma,Sebayashi,Sanchu,Chordata,Reptilia,,,,111.65,Cretaceo,True,Dinosauria,Asia,,Altro/Non Classificato,False
150309,13339,Styracosaurus albertensis,species,Late Campanian,,83.6,72.2,50.742214,-111.565781,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Ceratopsidae,Styracosaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
150310,13340,Centrosaurus apertus,species,Campanian,,83.6,72.2,50.73,-111.800003,CA,Alberta,Oldman,Belly River,Chordata,Ornithischia,Ornithischia,Ceratopsidae,Centrosaurus,77.9,Cretaceo,True,Dinosauria,Nord America,Ornithischia,Erbivoro,False
150311,13341,Apatosaurus louisae,species,Kimmeridgian,Tithonian,154.8,143.1,39.653423,-105.187332,US,Colorado,Morrison,,Chordata,Saurischia,Saurischia,Diplodocidae,Apatosaurus,148.95,Giurassico,True,Dinosauria,Nord America,Saurischia,Erbivoro,False
